t,MR,condition_id,T
0.0,1.0,T50,50.0
2.0,1.0,T50,50.0
4.0,0.9933264532298509,T50,50.0
6.0,0.9852016313232683,T50,50.0
8.0,0.9876044176621119,T50,50.0
10.0,0.9802820860500938,T50,50.0
12.0,0.9888512564180665,T50,50.0
14.0,0.999707076782951,T50,50.0
16.0,0.9794417906728445,T50,50.0
18.0,0.9762218584539619,T50,50.0
20.0,0.9853915920927055,T50,50.0
22.0,0.9821324108528681,T50,50.0
24.0,0.9776918499949814,T50,50.0
26.0,0.9654109838713126,T50,50.0
28.0,0.9725048855278566,T50,50.0
30.0,0.9778359503075936,T50,50.0
32.0,0.9555300552474829,T50,50.0
34.0,0.9624890857990526,T50,50.0
36.0,0.9461498116319547,T50,50.0
38.0,0.9503672027981624,T50,50.0
40.0,0.9429495091583737,T50,50.0
42.0,0.9571239583832488,T50,50.0
44.0,0.944912138512363,T50,50.0
46.0,0.9584146966950454,T50,50.0
48.0,0.9553887225868686,T50,50.0
50.0,0.9500747624228326,T50,50.0
52.0,0.924903029159444,T50,50.0
54.0,0.9428139386873506,T50,50.0
56.0,0.9458497792935728,T50,50.0
58.0,0.9456054721912098,T50,50.0
60.0,0.9273122835140226,T50,50.0
62.0,0.9359810252876474,T50,50.0
64.0,0.9291219349882404,T50,50.0
66.0,0.9289709647523486,T50,50.0
68.0,0.9458241712444486,T50,50.0
70.0,0.9252993154507578,T50,50.0
72.0,0.9312125445350207,T50,50.0
74.0,0.9385483746970781,T50,50.0
76.0,0.9220387940784456,T50,50.0
78.0,0.9249317021360232,T50,50.0
80.0,0.9253308800471655,T50,50.0
82.0,0.9230451600242592,T50,50.0
84.0,0.9083414673101328,T50,50.0
86.0,0.9195416837514673,T50,50.0
88.0,0.9305603370883736,T50,50.0
90.0,0.899696036045732,T50,50.0
92.0,0.9219602411928232,T50,50.0
94.0,0.9127624305952113,T50,50.0
96.0,0.9033601999871316,T50,50.0
98.0,0.9279886135839068,T50,50.0
100.0,0.9138201130876306,T50,50.0
102.0,0.8924212115114302,T50,50.0
104.0,0.9033793571843177,T50,50.0
106.0,0.9066246879884916,T50,50.0
108.0,0.8971970641507728,T50,50.0
110.0,0.9041445704458319,T50,50.0
112.0,0.8948843591924396,T50,50.0
114.0,0.9004595480196446,T50,50.0
116.0,0.9064133069028902,T50,50.0
118.0,0.8835159287827663,T50,50.0
120.0,0.8905518626219208,T50,50.0
0.0,0.9953669242346158,T60,60.0
2.0,0.9988668132267671,T60,60.0
4.0,0.9833221011652337,T60,60.0
6.0,0.9870067220969552,T60,60.0
8.0,0.9884492303490101,T60,60.0
10.0,0.9970160273511879,T60,60.0
12.0,0.9971035399704808,T60,60.0
14.0,0.9700446921573134,T60,60.0
16.0,0.9729679017699779,T60,60.0
18.0,0.9850234064388697,T60,60.0
20.0,0.9562758988974127,T60,60.0
22.0,0.9692197866984754,T60,60.0
24.0,0.9705356551559069,T60,60.0
26.0,0.9817413501115851,T60,60.0
28.0,0.9737335385704728,T60,60.0
30.0,0.9612412743595975,T60,60.0
