时间,电导1,电导2,电导3
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,1
8,0,0,1
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,1,0
14,0,1,0
15,0,0,0
16,0,0,0
17,0,0,1
18,0,0,1
19,0,0,1
20,0,0,0
21,0,0,1
22,0,1,1
23,0,1,1
24,0,1,0
25,0,1,0
26,0,1,1
27,0,1,1
28,0,1,1
29,0,1,1
30,0,1,1
31,0,1,1
32,0,1,1
33,0,1,1
34,0,1,1
35,0,1,1
36,0,1,1
37,0,1,1
38,0,1,1
39,0,1,1
40,0,1,1
41,0,1,1
42,0,1,1
43,0,1,1
44,0,1,1
45,0,1,1
46,0,1,1
47,0,1,1
48,0,1,1
49,0,1,1
50,0,1,1
51,0,1,1
52,0,1,1
53,0,1,1
54,0,1,1
55,0,2,1
56,0,2,1
57,0,1,1
58,0,1,1
59,403,1,1
60,1033,1,1
61,1033,1,1
62,1481,1,1
63,1714,1,1
64,1714,1,2
65,1809,1,2
66,1845,1,1
67,1845,2,1
68,1861,4,1
69,1865,4,1
70,1865,7,1
71,1864,12,1
72,1859,12,1
73,1859,18,1
74,1855,18,1
75,1855,24,1
76,1850,32,1
77,1848,32,1
78,1848,39,1
79,1839,47,1
80,1831,47,2
81,1831,54,2
82,1830,56,2
83,1825,56,2
84,1825,64,2
85,1819,71,2
86,1815,71,2
87,1815,78,2
88,1809,85,2
89,1803,85,2
90,1803,93,2
91,1797,93,2
92,1797,100,2
93,1791,105,2
94,1786,105,3
95,1786,114,3
96,1780,119,3
97,1776,119,3
98,1776,125,3
99,1770,132,3
100,1764,132,4
101,1764,139,4
102,1757,143,4
103,1751,143,4
104,1751,149,5
105,1745,155,5
106,1739,155,5
107,1739,161,5
108,1733,161,6
109,1733,167,6
110,1728,173,6
111,1722,173,7
112,1722,179,7
113,1716,186,7
114,1710,186,8
115,1710,191,8
116,1704,196,8
117,1698,196,9
118,1698,203,9
119,1692,208,9
120,1687,208,10
121,1687,214,10
122,1680,219,10
123,1680,219,11
124,1675,225,11
125,1669,225,11
126,1669,230,12
127,1663,236,12
128,1661,236,13
129,1661,242,14
130,1655,247,14
131,1650,247,14
132,1650,253,15
133,1644,255,15
134,1639,255,16
135,1639,260,16
136,1634,265,16
137,1630,265,17
138,1630,270,18
139,1624,276,18
140,1618,276,19
141,1618,281,19
142,1612,281,19
143,1612,286,20
144,1606,290,20
145,1601,290,21
146,1601,295,22
147,1594,301,22
148,1590,301,23
149,1590,307,24
150,1584,312,24
151,1578,312,24
152,1578,316,26
153,1572,319,26
154,1565,319,26
155,1565,324,27
156,1560,329,27
157,1560,329,28
158,1554,335,28
159,1549,335,29
160,1549,341,30
161,1544,345,30
162,1539,345,31
163,1539,349,32
164,1533,354,32
165,1528,354,33
166,1528,359,34
167,1523,363,34
168,1518,363,36
169,1518,368,36
170,1513,373,36
171,1509,373,37
172,1509,377,38
173,1504,381,38
174,1504,381,39
175,1499,385,39
176,1494,385,41
177,1494,389,42
178,1492,393,42
179,1487,393,43
180,1487,397,44
181,1483,401,44
182,1478,401,45
183,1478,402,47
184,1473,406,47
185,1469,406,47
186,1469,410,49
187,1463,414,49
188,1458,414,50
189,1458,418,51
190,1455,422,51
191,1455,422,53
192,1447,422,53
193,1447,427,54
194,1446,430,54
195,1442,430,55
196,1442,434,56
197,1437,437,56
198,1433,437,58
199,1433,439,59
200,1429,442,59
201,1425,442,60
202,1425,445,61
203,1421,448,61
204,1416,448,63
205,1416,452,64
206,1412,456,64
207,1408,456,65
208,1408,459,66
209,1404,459,66
210,1404,462,67
211,1399,465,67
212,1394,465,69
213,1394,469,70
