case,fold_id,holdout_group,model_name,fold_mse
drying,1,Samba_T65,lewis_1p,0.005162288608835148
drying,2,Samba_T55,lewis_1p,0.0021326444555245226
drying,3,Samba_T45,lewis_1p,0.0021326444555245226
drying,4,Nadu_T65,lewis_1p,0.011431700280304852
drying,5,Nadu_T55,lewis_1p,0.004685617831187518
drying,6,Nadu_T45,lewis_1p,0.013468803953809972
drying,1,Samba_T65,page_2p,0.002488534301475375
drying,2,Samba_T55,page_2p,0.0010778716335862507
drying,3,Samba_T45,page_2p,0.0010778716335862507
drying,4,Nadu_T65,page_2p,0.008059750682136053
drying,5,Nadu_T55,page_2p,0.0009444218810655474
drying,6,Nadu_T45,page_2p,0.011223347002434469
drying,1,Samba_T65,midilli_4p,0.002208399105705944
drying,2,Samba_T55,midilli_4p,0.000856602847110604
drying,3,Samba_T45,midilli_4p,0.000856602847110604
drying,4,Nadu_T65,midilli_4p,0.007744885986891725
drying,5,Nadu_T55,midilli_4p,0.0010331889126419527
drying,6,Nadu_T45,midilli_4p,0.011314971535065032
drying,1,Samba_T65,two_term_3p,0.0022248662847952363
drying,2,Samba_T55,two_term_3p,0.0007802081949310641
drying,3,Samba_T45,two_term_3p,0.0007802081949310641
drying,4,Nadu_T65,two_term_3p,0.007806467704558448
drying,5,Nadu_T55,two_term_3p,0.001121888220744391
drying,6,Nadu_T45,two_term_3p,0.011353003875315966
drying,1,Samba_T65,weibull_2p,0.0024885334200300253
drying,2,Samba_T55,weibull_2p,0.0010778706290358964
drying,3,Samba_T45,weibull_2p,0.0010778706290358964
drying,4,Nadu_T65,weibull_2p,0.008059751115924798
drying,5,Nadu_T55,weibull_2p,0.0009444250628810676
drying,6,Nadu_T45,weibull_2p,0.011223353995983185
drying,1,Samba_T65,arrhenius_lewis_2p,0.17299427685921862
drying,2,Samba_T55,arrhenius_lewis_2p,0.22396685036712116
drying,3,Samba_T45,arrhenius_lewis_2p,0.22396685036712116
drying,4,Nadu_T65,arrhenius_lewis_2p,0.14784682077491754
drying,5,Nadu_T55,arrhenius_lewis_2p,0.1808741049438112
drying,6,Nadu_T45,arrhenius_lewis_2p,0.2780920873645303
drying,1,Samba_T65,arrhenius_page_3p,0.17299427685921862
drying,2,Samba_T55,arrhenius_page_3p,0.22396685036712116
drying,3,Samba_T45,arrhenius_page_3p,0.22396685036712116
drying,4,Nadu_T65,arrhenius_page_3p,0.14784682077491754
drying,5,Nadu_T55,arrhenius_page_3p,0.1808741049438112
drying,6,Nadu_T45,arrhenius_page_3p,0.2780920873645303
