case,model_name,k_params,n,n_groups,group_col,baseline_name,n_eff,lambda_c,lambda_weight,sse,aic,aicc,bic,cv_risk,xpe,c_lambda
optics,cos_poly_deg2,6,29872,4,condition_id,cos_poly_deg0,29872,1.0,0.09704331470312051,6597697.828563399,161247.74702362902,161247.74983628598,161297.5750848237,247.8441736936148,1.0349555285568506,161297.57175056502
optics,cos_poly_deg1,5,29872,4,condition_id,cos_poly_deg0,29872,1.0,0.09704331470312051,6724522.289455141,161814.5132974136,161814.515306387,161856.0366817425,251.3853094908126,1.0203766413573407,161856.03472420268
optics,cos_poly_deg0,4,29872,4,condition_id,cos_poly_deg0,29872,1.0,0.09704331470312051,6935969.570058274,162737.34935046278,162737.35068973355,162770.5680579259,256.507697784811,1.0,162770.5680579259
rtd,gamma_2p,2,10401,3,run_id,gamma_2p,10401,1.0,0.10811211428311204,0.0005417458264207074,-174424.6272713304,-174424.6261172623,-174410.1279568617,1.0662989116434817e-07,1.0,-174410.1279568617
rtd,lognormal_2p,2,10401,3,run_id,gamma_2p,10401,1.0,0.10811211428311204,0.0005586573336677411,-174104.9072931609,-174104.9061390928,-174090.4079786922,1.1397885918289095e-07,0.9355234113481466,-174090.4007731162
rtd,axdisp_2p,2,10401,3,run_id,gamma_2p,10401,1.0,0.10811211428311204,0.0006181171561676477,-173052.93219907174,-173052.93104500364,-173038.43288460304,1.20949180086299e-07,0.8816090451234658,-173038.41926176517
drying,page_2p,2,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,0.21351658210554555,-415.09089682907694,-414.9169837855987,-410.5375645910448,0.0041452995229066,1.568591902289833,-410.64282844070584
drying,weibull_2p,2,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,0.21351658210541227,-415.0908968291219,-414.91698378564365,-410.5375645910898,0.0041453008098144,1.5685914153207934,-410.64282836815926
drying,two_term_3p,3,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,0.20355427680107965,-416.5311872791801,-416.17824610270947,-409.7011889221319,0.0040111070791555,1.6210694792935305,-409.8141474955594
drying,midilli_4p,4,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,0.20213670038404377,-415.0343580330952,-414.4373431077221,-405.927693557031,0.0040024418718839,1.6245790625652874,-406.0411578140714
drying,lewis_1p,1,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,0.38117469794214903,-375.36377942891056,-375.3066365717677,-373.0871133098945,0.0065022832641972,1.0,-373.0871133098945
drying,arrhenius_lewis_2p,2,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,14.732891888120644,-110.23401786037846,-110.06010481690019,-105.68068562234636,0.20462349844612,0.03177681602345067,-104.87421202469588
drying,arrhenius_page_3p,3,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,14.732891888120639,-108.23401786037849,-107.88107668390789,-101.40401950333032,0.20462349844612,0.03177681602345067,-100.59754590567984
