case,n,n_groups,group_col,baseline_name,n_eff,lambda_c,lambda_weight,aic_best,aicc_best,bic_best,cv_best,riec_best,n_eff_fraction
optics,29872,4,condition_id,cos_poly_deg0,29872,1.0,0.09704331470312051,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,1.0
optics,29872,4,condition_id,cos_poly_deg0,22404,1.0,0.09983034039968715,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,0.75
optics,29872,4,condition_id,cos_poly_deg0,14936,1.0,0.10404171164737433,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,0.5
optics,29872,4,condition_id,cos_poly_deg0,7468,1.0,0.11212795587958947,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,cos_poly_deg2,0.25
rtd,10401,3,run_id,gamma_2p,10401,1.0,0.10811211428311204,gamma_2p,gamma_2p,gamma_2p,gamma_2p,gamma_2p,1.0
rtd,10401,3,run_id,gamma_2p,7801,1.0,0.11158214634441663,gamma_2p,gamma_2p,gamma_2p,gamma_2p,gamma_2p,0.75
rtd,10401,3,run_id,gamma_2p,5200,1.0,0.11687139158449943,gamma_2p,gamma_2p,gamma_2p,gamma_2p,gamma_2p,0.5
rtd,10401,3,run_id,gamma_2p,2600,1.0,0.1271736080052602,gamma_2p,gamma_2p,gamma_2p,gamma_2p,gamma_2p,0.25
drying,72,6,condition_id,lewis_1p,72,1.0,0.23382699798647663,two_term_3p,two_term_3p,weibull_2p,midilli_4p,page_2p,1.0
drying,72,6,condition_id,lewis_1p,54,1.0,0.2506903984389969,two_term_3p,two_term_3p,weibull_2p,midilli_4p,page_2p,0.75
drying,72,6,condition_id,lewis_1p,36,1.0,0.2790553132756236,two_term_3p,two_term_3p,weibull_2p,midilli_4p,page_2p,0.5
drying,72,6,condition_id,lewis_1p,18,1.0,0.3459762562611936,two_term_3p,two_term_3p,weibull_2p,midilli_4p,page_2p,0.25
